17:01:24.956 -> HumiTemp: 23.30 Celsius
17:01:24.956 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:26.988 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:28.992 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:31.013 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:33.072 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:35.103 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:37.127 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:39.125 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:41.148 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:43.205 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:45.230 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:47.236 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:49.278 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:51.292 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:53.323 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:55.354 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:57.364 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:01:59.407 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:01.448 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:03.440 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:05.491 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:07.527 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:09.520 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:11.572 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:13.577 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:15.628 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:17.661 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:19.653 -> Humidity: 37.00 %, Temp: 23.20 Celsius
17:02:21.689 -> Humidity: 36.00 %, Temp: 23.10 Celsius
17:02:23.720 -> Humidity: 37.00 %, Temp: 23.10 Celsius
17:02:25.751 -> Humidity: 36.00 %, Temp: 23.10 Celsius
